Mounting coordinates exported from Respeaker Microphone Array v1.0.brd on 2016/9/29 8:42:17

Value,Ref-Des,Size,x(inch),y(inch),Angle,Side
DF2S6.8FS,D2,SOD-923,0.295,-0.760,270,Top
TOSHIBA;DF2S6.8FS(TL4,D),D7,SOD-923,-0.307,-1.017,90,Top
TOSHIBA;DF2S6.8FS(TL4,D),D8,SOD-923,-0.258,-1.018,90,Top
LED_RED,D9,LED-0402,0.035,-0.105,0,Top
LED_GREEN,D11,LED-0402,-0.655,-0.225,0,Top
,DM,TP-D45MIL,-0.326,-0.950,270,Bottom
,DP,TP-D45MIL,-0.226,-0.950,270,Bottom
,FR1,SEEEDSTUDIO-PCB-FRAME,2.155,0.435,0,Top
,FR2,SEEEDSTUDIO-PCB-FRAME,2.335,-0.845,0,Top
,FR3,SEEEDSTUDIO-PCB-FRAME,2.255,0.030,0,Top
,FR4,SEEEDSTUDIO-PCB-FRAME,2.245,-0.415,0,Top
,FR5,SEEEDSTUDIO-PCB-FRAME,2.230,1.080,0,Top
,FR7,SEEEDSTUDIO-PCB-FRAME,2.135,-1.105,0,Top
,FR8,SEEEDSTUDIO-PCB-FRAME,2.115,-1.365,0,Top
,GND,TP-D45MIL,-0.126,-0.950,270,Bottom
,GND1,TP-D45MIL,-0.425,-0.950,0,Bottom
DNP 320010000,J1,MICRO-USB5+4P-SMD-0.65-B,-0.269,-1.108,0,Top
320030443,J2,H2X8-SMD-2.0,-0.850,0.000,0,Bottom
320030443,J3,H2X8-SMD-2.0,0.850,0.000,0,Bottom
,J4,1P-40/25MIL,-0.785,0.650,0,Bottom
320030443,J5,H2X8-SMD-2.0,-0.850,0.000,0,Top
320030443,J6,H2X8-SMD-2.0,0.850,0.000,0,Top
,J7,1P-40/25MIL,-0.785,0.575,0,Bottom
DNP AUDIO-JACK-8P-SMD,J9,AUDIO8P-SMD-3.5-14.5X6.1X4.0MM,0.279,-1.405,90,Top
DNP,J10,H2-2.54,0.950,-0.910,315,Top
0.47uH,L1,L201610,-0.500,-0.345,180,Top
0.47uH,L2,L201610,-0.271,-0.181,90,Top
BLM18BD252SN1,L3,L0603,0.240,-0.735,270,Top
BLM18BD252SN1,L4,L0603,0.180,-0.735,270,Top
DNP,L5,L0603,0.035,-1.210,0,Top
BLM18BD252SN1,L6,L0603,0.782,-0.709,315,Top
BLM18BD252SN1,L7,L0603,0.739,-0.752,315,Top
MP34DT01,MIC7,HCLGA5P-3X4X1MM,0.000,-0.000,180,Top
MP34DT01,MIC8,HCLGA5P-3X4X1MM,-0.635,1.106,30,Top
MP34DT01,MIC9,HCLGA5P-3X4X1MM,-1.276,0.000,90,Top
MP34DT01,MIC10,HCLGA5P-3X4X1MM,-0.638,-1.105,150,Top
MP34DT01,MIC11,HCLGA5P-3X4X1MM,0.639,-1.104,210,Top
MP34DT01,MIC12,HCLGA5P-3X4X1MM,1.276,0.000,270,Top
MP34DT01,MIC13,HCLGA5P-3X4X1MM,0.635,1.106,330,Top
,MIC_CLK0,TP-D45MIL,-0.575,0.400,270,Bottom
,MIC_CLK1,TP-D45MIL,-0.500,0.400,270,Bottom
,MIC_CLK2,TP-D45MIL,-0.465,0.060,270,Bottom
,MIC_CLK3,TP-D45MIL,0.075,-0.950,270,Bottom
,MIC_CLK4,TP-D45MIL,-0.025,-0.950,270,Bottom
,MIC_CLK5,TP-D45MIL,0.611,0.595,90,Bottom
,MIC_CLK6,TP-D45MIL,0.711,0.595,90,Bottom
,PG,TP-D45MIL,-0.575,-0.300,180,Bottom
,PMCK,TP-D45MIL,0.250,-0.025,180,Bottom
,POR,TP-D45MIL,-0.495,-0.055,270,Bottom
CJ2102,Q1,SOT-323,-0.640,-0.145,270,Top
33R,R1,R0402,-0.192,0.950,0,Top
10K,R2,R0402,-0.720,0.545,0,Top
10k,R3,R0402,0.500,-0.695,0,Top
0R,R4,R0402,-0.165,-0.805,90,Top
100K_1%,R5,R0402,-0.675,-0.345,0,Top
43.2R,R6,R0402,0.000,0.150,180,Top
22K_1%,R7,R0402,-0.625,-0.345,0,Top
0R,R8,R0402,-0.245,-0.805,90,Top
0R,R9,R0402,-0.245,-0.846,90,Top
20K_1%,R10,R0402,-0.296,-0.031,180,Top
30K_1%,R11,R0402,-0.256,-0.031,0,Top
33R,R12,R0402,-0.400,0.710,270,Top
4.7R,R13,R0805,0.240,0.980,0,Top
33R,R14,R0402,-0.400,0.630,270,Top
10k,R15,R0402,0.479,0.721,90,Top
10k,R16,R0402,0.479,0.681,90,Top
1k,R17,R0402,-0.400,0.430,270,Top
33R,R18,R0402,0.035,-0.375,270,Top
33R,R19,R0402,0.035,-0.275,90,Top
100k,R20,R0402,0.375,-0.795,270,Top
10K,R21,R0402,-0.530,-0.275,90,Top
10K,R22,R0402,-0.505,-0.203,180,Top
3.9k,R23,R0402,-0.550,-0.203,0,Top
10K,R24,R0402,-0.655,-0.070,90,Top
470R,R25,R0402,-0.655,-0.275,90,Top
33R,R26,R0402,-0.497,0.318,180,Top
10K,R27,R0402,-0.673,0.795,180,Top
33R,R28,R0402,-0.550,0.060,90,Top
33R,R29,R0402,-0.540,0.318,180,Top
33R,R30,R0402,0.010,-0.830,0,Top
33R,R31,R0402,-0.037,-0.830,0,Top
0R,R32,R0402,0.050,-1.260,90,Top
33R,R33,R0402,-0.515,0.680,90,Top
470R,R34,R0402,-0.040,-0.105,270,Top
10K,R35,R0402,0.370,1.160,90,Top
0R DNP,R36,R0402,0.400,0.683,270,Top
0R DNP,R37,R0402,0.400,0.723,270,Top
0R,R38,R0402,-0.165,-0.846,90,Top
10k,R39,R0402,0.500,-0.770,180,Top
33R,R40,R0402,-0.515,0.590,90,Top
33R,R41,R0402,-0.515,0.500,90,Top
DNP 0R,R42,R0402,0.270,0.045,270,Top
DNP 10K,R43,R0402,-0.195,-1.017,0,Top
33R,R44,R0402,0.175,1.165,0,Top
10K,R45,R0402,0.370,1.205,270,Top
33R,R46,R0402,0.210,0.025,180,Top
33R,R47,R0402,-0.400,0.348,270,Top
33R,R48,R0402,0.370,0.135,0,Top
33R,R49,R0402,-0.400,0.305,90,Top
33R,R50,R0402,-0.360,0.060,270,Top
33R,R52,R0402,0.645,0.510,180,Top
33R,R53,R0402,0.690,0.510,180,Top
33R,R58,R0402,1.301,0.142,180,Top
33R,R60,R0402,0.771,-1.059,180,Top
33R,R61,R0402,-0.522,-1.167,90,Top
33R,R62,R0402,-1.270,-0.124,90,Top
33R,R63,R0402,0.485,1.161,90,Top
33R,R64,R0402,-0.756,1.034,180,Top
33R,R65,R0402,0.140,-0.025,270,Top
,RST,TP-D45MIL,-0.675,0.775,0,Bottom
,RST_N,TP-D45MIL,-0.725,0.550,180,Bottom
SK6812MINI,SK0,LED4-SMD-3.5X3.7MM,0.000,1.084,180,Top
SK6812MINI,SK1,LED4-SMD-3.5X3.7MM,-0.546,0.939,210,Top
SK6812MINI,SK2,LED4-SMD-3.5X3.7MM,-0.939,0.544,240,Top
SK6812MINI,SK3,LED4-SMD-3.5X3.7MM,-1.082,0.000,270,Top
SK6812MINI,SK4,LED4-SMD-3.5X3.7MM,-0.938,-0.543,300,Top
SK6812MINI,SK5,LED4-SMD-3.5X3.7MM,-0.542,-0.938,330,Top
SK6812MINI,SK6,LED4-SMD-3.5X3.7MM,-0.000,-1.085,0,Top
SK6812MINI,SK7,LED4-SMD-3.5X3.7MM,0.575,-0.918,30,Top
SK6812MINI,SK8,LED4-SMD-3.5X3.7MM,0.941,-0.540,60,Top
SK6812MINI,SK9,LED4-SMD-3.5X3.7MM,1.082,0.000,90,Top
SK6812MINI,SK10,LED4-SMD-3.5X3.7MM,0.941,0.541,120,Top
SK6812MINI,SK11,LED4-SMD-3.5X3.7MM,0.541,0.940,150,Top
FSA2275,SW1,LEAD12P-SMD-0.4-1.8X1.8X0.5MM,0.375,-0.720,270,Top
,TCK,TP-D45MIL,-0.225,0.750,90,Bottom
,TDI,TP-D45MIL,-0.325,0.750,90,Bottom
,TDO,TP-D45MIL,-0.325,0.850,90,Bottom
,TMS,TP-D45MIL,-0.225,0.850,90,Bottom
,TP4,TP-D45MIL,0.450,-0.175,270,Bottom
,TP14,TP-D45MIL,0.465,-0.360,180,Bottom
,U$36,OSHW_FILLX200_NOTEXT_TNAME,0.360,-0.022,0,Bottom
,U$51,SEEED-SILK-TNAME-280*268MIL,-0.065,0.055,0,Bottom
XUF216-512,U1,TQFP128-0.4-14X14MM,0.000,0.560,0,Top
ETA3410,U2,DFN8G-0.5-2X2MM,-0.500,-0.470,270,Top
ETA3410,U3,DFN8G-0.5-2X2MM,-0.391,-0.181,180,Top
74HC1G08,U4,SOT-353,-0.695,0.670,0,Top
ADM1085,U5,SC-70-6,-0.530,-0.073,0,Top
WM8960,U6,QFN32G-0.5-5X5MM,0.215,-0.300,270,Top
AP7333,U7,SOT-23,0.450,-0.015,0,Top
74AHC1G79,U8,SOT-353,0.270,0.145,90,Top
NC7NZ34,U9,US-8,-0.530,0.185,90,Top
NC7NZ34,U10,US-8,0.005,-0.675,270,Top
NC7NZ34,U11,US-8,0.650,0.380,90,Top
NC7NZ34,U12,US-8,-0.400,0.185,270,Top
74HC1G08,U13,SOT-353,0.265,1.165,180,Top
24MHz,X1,OSC-SMD-2.5X2.0X0.9MM,-0.145,1.045,180,Top
24MHz,X2,OSC-SMD-2.5X2.0X0.9MM,-0.060,-0.300,0,Top
,XL_DN0,TP-D45MIL,-0.325,0.650,90,Bottom
,XL_DN1,TP-D45MIL,-0.225,0.650,90,Bottom
,XL_UP0,TP-D45MIL,-0.425,0.750,90,Bottom
,XL_UP1,TP-D45MIL,-0.425,0.650,90,Bottom
